Q31: Le TC dense régulier unitendu est typiquement retrouvé dans :	Réponse: A — Tendons et ligaments
Q53: L’irrigation du membre supérieur débute à partir de :	Réponse: A — L’artère sous-clavière
Q59: L’artère brachiale se termine au pli du coude en donnant :	Réponse: C — L’artère radiale et l’artère ulnaire
Q110: [V16] Lequel des énoncés décrit correctement : Espace huméro-tricipital ?	Réponse: A — où le nerf radial accompagne l’a. brachiale profonde
Q123: [V29] Quel élément correspond le mieux à : l’artère à partir de laquelle commence l’irrigation du membre supérieur ?	Réponse: D — Sous-clavière
Q151: [V57] Parmi les propositions suivantes, laquelle correspond le mieux à : les deux terminales de l’artère brachiale au pli du coude ?	Réponse: D — Radiale + ulnaire
Q158: [V64] Quel élément correspond le mieux à : les deux terminales de l’artère brachiale au pli du coude ?	Réponse: C — Radiale + ulnaire
Q176: [V82] Quel élément correspond le mieux à : l’artère issue de l’axillaire au bord inférieur du grand rond ?	Réponse: C — Brachiale
Q188: [V94] Quel élément correspond le mieux à : l’artère faisant suite à la sous-clavière au défilé costo-claviculaire ?	Réponse: D — Axillaire
Q194: [V100] Lequel des énoncés décrit correctement : Dure-mère ?	Réponse: C — exemple de localisation de TC dense irrégulier
Q211: [V117] Parmi les propositions suivantes, laquelle correspond le mieux à : site de palpation du pouls radial cité ?	Réponse: C — Tabatière anatomique
Q221: [V127] Lequel des énoncés décrit correctement : Endomysium ?	Réponse: B — localisation citée du TC lâche entre fibres musculaires striées
Q227: [V133] Parmi les propositions suivantes, laquelle correspond le mieux à : site de palpation du pouls radial cité ?	Réponse: D — Tabatière anatomique
Q242: [V148] Parmi les propositions suivantes, laquelle correspond le mieux à : les deux terminales de l’artère brachiale au pli du coude ?	Réponse: C — Radiale + ulnaire
Q244: [V150] Parmi les propositions suivantes, laquelle correspond le mieux à : les deux terminales de l’artère brachiale au pli du coude ?	Réponse: D — Radiale + ulnaire
Q262: [V168] Parmi les propositions suivantes, laquelle correspond le mieux à : site de palpation du pouls radial cité ?	Réponse: C — Tabatière anatomique
Q301: [V207] Parmi les propositions suivantes, laquelle correspond le mieux à : où le nerf radial accompagne l’a. brachiale profonde ?	Réponse: C — Espace huméro-tricipital
Q305: [V211] Quel élément correspond le mieux à : les deux terminales de l’artère brachiale au pli du coude ?	Réponse: C — Radiale + ulnaire
