Féminine = ovogénèse	B
Mâles = spermatozoïdes	A
Comment s'appelle les cellules souches de la lignée germinale chez l'homme ?	D
des spermatogonies mais également à leur différenciation	B
Spermiogénèse	B
Spermatide	B
production de la testostérone	A
La LH (en agissant sur les cellules de Leydig)	A
La FSH (en agissant sur les cellules de Sertoli)	B
La GnRH	B
Tête / Pièce intermédiaire / Flagelle	C
Tête : contient l'information génétique (dans le noyau), les enzymes nécessaires à la fécondation (dans l'acrosome)	B
Flagelle : mode de locomotion	D
Spermatogénèse : à la puberté	A
Comment s'appelle les cellules souches de la ligné germinale chez la femme ?	A
cellules folliculaires = corona radiata	C
(granulosa et thèque). Développement de la zone pellucide.	A
couches (thèque interne et thèque externe) et creusement de l'antrum.	B
Elle a lieu vers le 14ème jour du cycle menstruel suite au pic de LH	B
Bloqué en métaphase 2 = ovocyte 2	B
Globule polaire	C
l'hypophyse	C
FSH : croissance des follicules puis maturation d'un seul follicule par cycle	C
Quelles sont les caractéristiques de la glaire cervicale en phase ovulatoire ?	B
• La phase de régénération de J5 à J8, nombreuses mitoses	A
croissance	C
• La phase de sécrétion glandulaire de J22 à J28. Sécrétion du glycogène en surface de l'endomètre.	C
Période du cycle menstruel pendant laquelle un rapport sexuel peut être fécondant et est suivi d'une grossesse.	A
Ovocyte : 24H après ovulation	B
Fructose du liquide séminal	A
La morphologie des voies génitales féminines (pas de chimiotactisme)	C
col de l'utérus	B
Processus de maturation de la membrane des spz réalisée par la glaire cervicale et qui permet de découvrir les récepteurs spermatiques par lesquels le spz se fixe à la zone pellucide	C
Cellules folliculaires qui entourent l'ovule au moment de son expulsion.	D
Réaction qui s'opère dès le contact entre le spz et la zone pellucide et qui permet de libérer les enzymes de l'acrosome (notamment acrosine), contribuant ainsi à l'avancée un spz à travers la zone pellucide	A
L'hyperactivité du spz (mouvement en coup de fouet).	B
Libération des granules corticaux dans l'espace périvitellin	C
Quel autre phénomène en plus de la réaction corticale est induit par ce mécanisme ?	D
D'un point de vue de son génome, comment est caractérisée la cellule oeuf (combien de chromosomes à combien de chromatides) ?	B
Les faux jumeaux résultent de la fécondation de 2 ovules distincts par 2 spermatozoïdes différents	C
- L'un des gamètes est porteur d'une anomalie, et la transmet au zygote : translocations, duplications, inversions, monosomie, trisomie...	C
- Au moment de la fusion des gamètes, une erreur au	D
- Pathologies tubo-péritonéales (imperméabilité des trompes, l'hydrosalpinx, l'endométriose)	D
Quelles sont les principales causes d'infertilité masculine ?	C
asthénospermie /tératospermie ; varicocèle)	A
génitales)	B
- Excès de chaleur	B
- Traitements en radiothérapie ou chimiothérapie	C
- Insémination artificielle (IAD et IAC)	A
- FIV avec ICSI	C
- Complications liées à la stimulation ovarienne : Syndrome	B
- Complications liées à la ponction d'ovocytes : Risque infectieux, Risque hémorragique, Torsion d'annexe (torsion ovarienne)	D
Correspond aux premières mitoses sans augmentation du volume de départ	C
24h après la fécondation	D
4 jours	A
Une trentaine	C
Les cellules les plus externes de la morula se resserrent entre elles et s'adjoignent	B
Le blastocèle	D
l'embryon ?	A
Autour de quel jour post-fécondation a lieu l'éclosion du blastocyte ?	A
- Libération d'enzymes au pôle anti-embryonnaire	D
L'expulsion de l'embryon	D
Le pôle anti-embryonnaire	C
Dès le stade d'ovule non fécondé	C
Les globules polaires	D
Battements microciliaires et les contractions de la trompe	A
6ème jour	D
Le pôle embryonnaire	B
Au niveau de la paroi supérieure et postérieure de la couche fonctionnelle de l'endomètre	D
Eviter la polyspermie	A
Barrière immunologique face à la mère	C
Apposition du blastocyste à la muqueuse utérine	A
Invasion du trophoblaste et enfouissement	D
Apposition du blastocyte à la muqueuse utérine	B
Glycoprotéines de surface	B
Cytotrophoblaste et syncytiotrophoblaste	B
Cytotrophoblaste : couche interne, cellules ovoïdes, mononuclées.	C
permettre l'enfouissement de l'embryon. Erode les canaux sanguins maternels pour mettre en place la circulation utéro-placentaire primitive	A
À la fin de la 2ème semaine	A
13ème jour	A
Mésoderme	B
La formation de la ligne primitive	B
La ligne primitive	B
Vers l'extrémité céphalique	B
L'ingression	A
La constitution de pseudopodes	C
Mésoderme intermédiaire	C
région du nœud primitif, visible en transparence sous	D
céphalique en même temps que régresse la ligne primitive	C
Induit l'ectoderme à se différencier en plaque neurale	B
- Plaque neurale (qui donnera le SNC)	D
- Ectoderme placodique (qui donnera les organes des sens)	B
- membrane oropharyngée (côté céphalique)	C
Quel est le devenir des 2 régions où le mésoderme ne s'interpose pas entre l'ectoderme et l'endoderme ?	B
La membrane cloacale donnera l'anus et les ouvertures du tractus uro-génital	D
Le mésoderme para-axial se différencie en somites	C
Le mésoderme intermédiaire contribuera à la formation de l'appareil uro-génital	A
Le mésoderme latéral contribuera à la formation des parois du corps et de la paroi intestinale (système gastro-intestinal)	D
S'invagine en gouttière neurale puis se referme pour donner le tube neural = neurulation primaire	B
Carrières	A
Cartes	A
Apprendre	C
Solutions	C
Quizlet Plus	A
Minuterie Pomodoro	D
Blog	D
Centre d'aide	A
Code d'honneur	D
Conditions d'utilisation	D
Confidentialité en Californie	D
Publicités basées sur vos intérêts	B
Pour les parents	C
États-Unis	A
Royaume-Uni	C
Nouvelle-Zélande	C
France	B
Italie	A
Corée du Sud	D
Chine	A
Suède	A
Suisse	C
Pologne	C
Ukraine	A
Vietnam	A
Philippines	C
©	B
Quizlet, Inc.	A
