Q5: Les protéoglycanes sont très hydrophiles principalement en raison de :	Réponse: A — Leur richesse en charges négatives
Q6: Le tissu conjonctif dense irrégulier (non orienté) présente :	Réponse: D — Des faisceaux de collagène dans toutes les directions
Q8: Les cellules conjonctives importées sont principalement :	Réponse: C — D’origine médullaire hématopoïétique
Q9: Le collagène de type II est localisé principalement :	Réponse: C — Dans le cartilage
Q10: Les laminines sont décrites comme spécifiques de :	Réponse: A — La lame basale
Q11: Dans le cours, l’importance des protéoglycanes pour le cartilage est surtout liée à :	Réponse: B — La résistance aux forces de compression
Q12: Les mastocytes sont classiquement :	Réponse: C — Riches en granulations basophiles contenant de l’histamine
Q14: Le collagène de type III correspond à :	Réponse: D — La réticuline (fibres réticulées)
Q15: Dans le cours, le collagène de type I représente environ :	Réponse: B — 90% du collagène de l’organisme
Q17: Les collagènes confèrent surtout :	Réponse: C — Une résistance mécanique à la traction
Q20: L’hydrolyse de l’acide hyaluronique tend à :	Réponse: D — Diminuer la viscosité et augmenter la perméabilité tissulaire
Q22: Les macrophages (histiocytes) sont décrits comme :	Réponse: D — Des monocytes sortis du sang et différenciés dans les tissus
Q23: La fonction de défense des tissus conjonctifs est liée notamment à :	Réponse: D — La présence de cellules immunitaires de passage
Q24: Localisation typique des fibres réticulées (cours) :	Réponse: A — Organes hématopoïétiques/lymphoïdes (ex. moelle osseuse)
Q25: Les myofibroblastes possèdent notamment :	Réponse: A — Des filaments contractiles d’actine et de myosine
Q26: Concernant l’adipocyte blanc (cours) :	Réponse: D — Univacuolaire et de grande taille (≈100 µm)
Q28: Les fibres élastiques (cours) sont mises en évidence par une coloration à :	Réponse: B — L’orcéine
Q29: Le tissu conjonctif lâche est caractérisé (cours) par :	Réponse: D — Une substance fondamentale prédominante et des fibres non orientées
Q30: Les fibres conjonctives se déclinent (cours) en trois variétés principales :	Réponse: D — Collagènes, réticulées, élastiques
Q32: Les fibres réticulées (réticulines) :	Réponse: C — S’assemblent en réseaux anastomosés
Q33: L’enzyme citée qui hydrolyse l’acide hyaluronique est :	Réponse: D — Hyaluronidase
Q34: Le tissu conjonctif muqueux est surtout important :	Réponse: B — Chez l’embryon (cordon ombilical)
Q36: Localisation citée du tissu conjonctif lâche (cours) :	Réponse: D — Entre les cellules musculaires striées (endomysium)
Q37: Sur le plan embryologique, les tissus conjonctifs dérivent principalement :	Réponse: D — Du mésoblaste via le mésenchyme
Q38: La matrice extracellulaire (MEC) est constituée de :	Réponse: D — Fibres + substance fondamentale
Q39: Le TC fibreux à prédominance de fibres élastiques est cité dans :	Réponse: A — Les ligaments jaunes et la paroi des grosses artères élastiques
Q42: La substance fondamentale d’un tissu conjonctif est classiquement décrite comme :	Réponse: D — Semi-fluide, située entre cellules et fibres
Q43: Une fonction métabolique des tissus conjonctifs est liée surtout à :	Réponse: C — Leur richesse en vaisseaux sanguins
Q44: Les hématies sont décrites comme :	Réponse: D — Des cellules anucléées
Q46: Une propriété décrite des fibres élastiques (cours) :	Réponse: A — Elles ne se renouvellent pas
Q49: Concernant l’adipocyte brun (cours) :	Réponse: B — Plurivacuolaire, nombreuses mitochondries, thermogenèse
Q50: Exemple de localisation d’un TC dense irrégulier (cours) :	Réponse: A — Dure-mère
Q51: Les intégrines (rappel du cours) sont :	Réponse: A — Des récepteurs membranaires dimériques (sous-unités α et β)
Q52: Dans le cours, la proportion des éléments figurés du sang est d’environ :	Réponse: B — 45%
Q55: Exemple correct (cours) de glycoprotéine reliant cellules et collagène :	Réponse: D — Fibronectine
Q58: Le fibroblaste se distingue du fibrocyte (cours) par :	Réponse: D — Une activité métabolique plus élevée
Q60: Les glycosaminoglycanes (GAG) sont :	Réponse: C — De longues chaînes glucidiques non ramifiées
Q62: Un disaccharide de base des GAG comporte typiquement :	Réponse: C — Un acide uronique et une hexosamine
Q64: Les glycoprotéines de la MEC (cours) participent surtout à :	Réponse: C — L’ancrage des cellules sur la MEC
Q65: Les agrégats de protéoglycanes se fixent sur une molécule de :	Réponse: D — Acide hyaluronique (liaisons non covalentes)
Q70: Le tissu conjonctif réticulé est caractérisé par :	Réponse: A — Un maillage de fibres réticulées (collagène type III) et peu/pas de SF
Q71: Dans le cours, la fibrilline est associée à :	Réponse: A — Les fibres élastiques
Q72: Les fibroblastes synthétisent :	Réponse: B — Toutes les macromolécules constitutives de la MEC
Q73: Les plaquettes (thrombocytes) sont :	Réponse: C — Des fragments cellulaires
Q74: Les fibres élastiques sont constituées :	Réponse: A — D’un cœur d’élastine et d’une périphérie de fibrilline
Q75: Parmi les GAG, lequel est spécifiquement décrit comme non sulfaté et présent dans tous les TC ?	Réponse: A — Acide hyaluronique
