Q1: Le nerf axillaire chemine avec l’artère circonflexe humérale postérieure dans :	Réponse: D — L’espace quadrangulaire
Q2: Le plexus brachial est formé des APD de :	Réponse: B — C5 à T1
Q3: Le format SOAP correspond à :	Réponse: D — Subjectif – Objectif – Analyse – Plan
Q4: Les divisions postérieures innervent préférentiellement :	Réponse: C — Les loges postérieures (extenseurs)
Q5: Les protéoglycanes sont très hydrophiles principalement en raison de :	Réponse: A — Leur richesse en charges négatives
Q6: Le tissu conjonctif dense irrégulier (non orienté) présente :	Réponse: D — Des faisceaux de collagène dans toutes les directions
Q7: Le tronc supérieur du plexus brachial est formé par :	Réponse: D — C5 et C6
Q8: Les cellules conjonctives importées sont principalement :	Réponse: C — D’origine médullaire hématopoïétique
Q9: Le collagène de type II est localisé principalement :	Réponse: C — Dans le cartilage
Q10: Les laminines sont décrites comme spécifiques de :	Réponse: A — La lame basale
Q11: Dans le cours, l’importance des protéoglycanes pour le cartilage est surtout liée à :	Réponse: B — La résistance aux forces de compression
Q12: Les mastocytes sont classiquement :	Réponse: C — Riches en granulations basophiles contenant de l’histamine
Q13: La branche profonde du nerf radial :	Réponse: D — Plonge dans le supinateur et innerve la loge postérieure
Q14: Le collagène de type III correspond à :	Réponse: D — La réticuline (fibres réticulées)
Q15: Dans le cours, le collagène de type I représente environ :	Réponse: B — 90% du collagène de l’organisme
Q16: Dans le cours, une atteinte du médian au canal carpien peut donner :	Réponse: D — Fonte du thénar avec “main de singe”
Q17: Les collagènes confèrent surtout :	Réponse: C — Une résistance mécanique à la traction
Q18: De manière générale, de la moelle émergent :	Réponse: D — Une racine antérieure motrice et une racine postérieure sensitive
Q19: Le TC dense régulier bitendu est cité dans le cours comme :	Réponse: B — Stroma cornéen / aponévroses
Q20: L’hydrolyse de l’acide hyaluronique tend à :	Réponse: D — Diminuer la viscosité et augmenter la perméabilité tissulaire
Q21: Au niveau des racines, le plexus brachial passe entre :	Réponse: C — Scalène antérieur (avant) et scalène moyen (arrière)
Q22: Les macrophages (histiocytes) sont décrits comme :	Réponse: D — Des monocytes sortis du sang et différenciés dans les tissus
Q23: La fonction de défense des tissus conjonctifs est liée notamment à :	Réponse: D — La présence de cellules immunitaires de passage
Q24: Localisation typique des fibres réticulées (cours) :	Réponse: A — Organes hématopoïétiques/lymphoïdes (ex. moelle osseuse)
Q25: Les myofibroblastes possèdent notamment :	Réponse: A — Des filaments contractiles d’actine et de myosine
Q26: Concernant l’adipocyte blanc (cours) :	Réponse: D — Univacuolaire et de grande taille (≈100 µm)
Q27: Au coude, le nerf ulnaire passe :	Réponse: C — En arrière de l’épicondyle médial (gouttière rétro-épitrochléo-olécranienne)
Q28: Les fibres élastiques (cours) sont mises en évidence par une coloration à :	Réponse: B — L’orcéine
Q29: Le tissu conjonctif lâche est caractérisé (cours) par :	Réponse: D — Une substance fondamentale prédominante et des fibres non orientées
Q30: Les fibres conjonctives se déclinent (cours) en trois variétés principales :	Réponse: D — Collagènes, réticulées, élastiques
Q31: Le TC dense régulier unitendu est typiquement retrouvé dans :	Réponse: A — Tendons et ligaments
Q32: Les fibres réticulées (réticulines) :	Réponse: C — S’assemblent en réseaux anastomosés
Q33: L’enzyme citée qui hydrolyse l’acide hyaluronique est :	Réponse: D — Hyaluronidase
Q34: Le tissu conjonctif muqueux est surtout important :	Réponse: B — Chez l’embryon (cordon ombilical)
Q35: Le nerf interosseux antérieur (branche du médian) innerve notamment :	Réponse: B — Flexor pollicis longus, 1/2 latérale du flexor digitorum profundus, carré pronateur
Q36: Localisation citée du tissu conjonctif lâche (cours) :	Réponse: D — Entre les cellules musculaires striées (endomysium)
