Q3: Le format SOAP correspond à :	Réponse: D — Subjectif – Objectif – Analyse – Plan
Q41: Dans une approche “evidence-based”, la question PICO inclut typiquement :	Réponse: C — Patient/Problème, Intervention, Comparateur, Outcome
Q48: Dans les compétences IFEC, “raisonnement clinique” et “pensée critique” impliquent :	Réponse: C — Formuler des hypothèses et les tester avec anamnèse + examen
Q67: Selon l’IFEC, le chiropracteur doit être capable de :	Réponse: B — Reconnaître les situations nécessitant une intervention médicale
Q69: Un “red flag” majeur évoquant une queue de cheval est :	Réponse: B — Troubles sphinctériens avec anesthésie en selle
Q77: Si une situation dépasse les compétences du chiropracteur (IFEC), la conduite attendue est :	Réponse: A — Orienter vers un professionnel médical/paramédical approprié
Q82: La prise en charge “en premier recours” signifie surtout :	Réponse: D — Patient consultant directement sans prescription médicale préalable
Q86: Une obligation avant technique manuelle est :	Réponse: B — Recueillir un consentement éclairé (bénéfices/risques/alternatives)
Q93: Selon l’IFEC (objectifs), une priorité centrale de la formation en chiropraxie est :	Réponse: C — La qualité et la sécurité des soins
Q95: [V1] Quel élément correspond le mieux à : Subjectif – Objectif – Analyse – Plan ?	Réponse: A — SOAP
Q162: [V68] Quel élément correspond le mieux à : la capacité à identifier ce qui nécessite une intervention médicale ?	Réponse: C — Reconnaître ses limites
Q199: [V105] Parmi les propositions suivantes, laquelle correspond le mieux à : un objectif central mis en avant par l’IFEC ?	Réponse: A — Qualité et sécurité des soins
Q234: [V140] Quel élément correspond le mieux à : Subjectif – Objectif – Analyse – Plan ?	Réponse: B — SOAP
Q336: [V242] Quel élément correspond le mieux à : Subjectif – Objectif – Analyse – Plan ?	Réponse: D — SOAP
Q387: [V293] Quel élément correspond le mieux à : Subjectif – Objectif – Analyse – Plan ?	Réponse: A — SOAP
Q286: [V192] Quel élément correspond le mieux à : la forme quiescente du fibroblaste ?	Réponse: C — Fibrocyte
Q288: [V194] Quel élément correspond le mieux à : le collagène des lames basales (mailles, ne forme pas de fibres) ?	Réponse: B — Collagène type IV
Q289: [V195] Parmi les propositions suivantes, laquelle correspond le mieux à : lymphocyte B maturé sécrétant des Ig ?	Réponse: C — Plasmocyte
Q290: [V196] Parmi les propositions suivantes, laquelle correspond le mieux à : charpente (maillage) en collagène III des organes hématopoïétiques/lymphoïdes ?	Réponse: A — Tissu réticulé
Q292: [V198] Parmi les propositions suivantes, laquelle correspond le mieux à : des récepteurs membranaires dimériques impliqués dans l’ancrage à la MEC ?	Réponse: A — Intégrines (α/β)
Q293: [V199] Parmi les propositions suivantes, laquelle correspond le mieux à : exemple de TC à prédominance de fibres élastiques ?	Réponse: C — Ligaments jaunes
Q294: [V200] Quel élément correspond le mieux à : lymphocyte B maturé sécrétant des Ig ?	Réponse: C — Plasmocyte
Q296: [V202] Lequel des énoncés décrit correctement : Acide hyaluronique ?	Réponse: C — un GAG non sulfaté, ubiquitaire, ne formant pas de protéoglycanes
Q297: [V203] Quel élément correspond le mieux à : localisation citée du TC lâche entre fibres musculaires striées ?	Réponse: B — Endomysium
Q298: [V204] Parmi les propositions suivantes, laquelle correspond le mieux à : la coloration de mise en évidence des fibres élastiques ?	Réponse: D — Orcéine
Q299: [V205] Parmi les propositions suivantes, laquelle correspond le mieux à : collagène en faisceaux orientés dans toutes les directions ?	Réponse: C — TC dense irrégulier
Q300: [V206] Quel élément correspond le mieux à : la réticuline (fibres réticulées) ?	Réponse: D — Collagène type III
Q302: [V208] Parmi les propositions suivantes, laquelle correspond le mieux à : la composition du disaccharide de base des GAG ?	Réponse: D — Acide uronique + hexosamine
Q304: [V210] Lequel des énoncés décrit correctement : Plaquette ?	Réponse: D — fragment cellulaire impliqué dans l’hémostase
Q307: [V213] Quel élément correspond le mieux à : des récepteurs membranaires dimériques impliqués dans l’ancrage à la MEC ?	Réponse: A — Intégrines (α/β)
Q308: [V214] Parmi les propositions suivantes, laquelle correspond le mieux à : un GAG non sulfaté, ubiquitaire, ne formant pas de protéoglycanes ?	Réponse: D — Acide hyaluronique
Q309: [V215] Quel élément correspond le mieux à : matrice liquide du sang (~55%) ?	Réponse: D — Plasma
Q310: [V216] Lequel des énoncés décrit correctement : Racine antérieure ?	Réponse: A — la racine motrice du nerf spinal
Q317: [V223] Quel élément correspond le mieux à : localisation citée du TC lâche entre fibres musculaires striées ?	Réponse: D — Endomysium
Q319: [V225] Lequel des énoncés décrit correctement : Collagène type II ?	Réponse: B — le collagène du cartilage
Q321: [V227] Quel élément correspond le mieux à : cellule avec actine/myosine impliquée dans réparation et inflammation ?	Réponse: B — Myofibroblaste
Q322: [V228] Quel élément correspond le mieux à : collagène en faisceaux orientés dans toutes les directions ?	Réponse: A — TC dense irrégulier
Q323: [V229] Lequel des énoncés décrit correctement : Myofibroblaste ?	Réponse: C — cellule avec actine/myosine impliquée dans réparation et inflammation
Q324: [V230] Lequel des énoncés décrit correctement : TC lâche ?	Réponse: C — tissu très distribué, rôle de remplissage, fibres sans orientation
Q325: [V231] Quel élément correspond le mieux à : la forme quiescente du fibroblaste ?	Réponse: A — Fibrocyte
Q326: [V232] Parmi les propositions suivantes, laquelle correspond le mieux à : cellule sanguine anucléée ?	Réponse: C — Hématie
Q327: [V233] Quel élément correspond le mieux à : une glycoprotéine spécifique de la lame basale ?	Réponse: B — Laminine
Q329: [V235] Quel élément correspond le mieux à : l’origine embryologique des tissus conjonctifs ?	Réponse: B — Mésoblaste (via mésenchyme)
Q330: [V236] Quel élément correspond le mieux à : la définition de la matrice extracellulaire ?	Réponse: D — MEC = fibres + substance fondamentale
Q331: [V237] Parmi les propositions suivantes, laquelle correspond le mieux à : la définition de la matrice extracellulaire ?	Réponse: C — MEC = fibres + substance fondamentale
Q332: [V238] Quel élément correspond le mieux à : le collagène des lames basales (mailles, ne forme pas de fibres) ?	Réponse: C — Collagène type IV
Q334: [V240] Lequel des énoncés décrit correctement : Endomysium ?	Réponse: A — localisation citée du TC lâche entre fibres musculaires striées
Q337: [V243] Parmi les propositions suivantes, laquelle correspond le mieux à : le collagène du cartilage ?	Réponse: C — Collagène type II
Q339: [V245] Quel élément correspond le mieux à : de longues chaînes glucidiques non ramifiées ?	Réponse: D — GAG
Q342: [V248] Lequel des énoncés décrit correctement : Acide hyaluronique ?	Réponse: B — un GAG non sulfaté, ubiquitaire, ne formant pas de protéoglycanes
Q343: [V249] Quel élément correspond le mieux à : un GAG non sulfaté, ubiquitaire, ne formant pas de protéoglycanes ?	Réponse: C — Acide hyaluronique
Q344: [V250] Quel élément correspond le mieux à : un GAG non sulfaté, ubiquitaire, ne formant pas de protéoglycanes ?	Réponse: D — Acide hyaluronique
Q345: [V251] Parmi les propositions suivantes, laquelle correspond le mieux à : tissu conjonctif surtout embryonnaire (cordon ombilical) ?	Réponse: C — TC muqueux
Q347: [V253] Lequel des énoncés décrit correctement : Fibroblaste ?	Réponse: B — la cellule résidente qui synthétise les macromolécules de la MEC
Q348: [V254] Quel élément correspond le mieux à : charpente (maillage) en collagène III des organes hématopoïétiques/lymphoïdes ?	Réponse: A — Tissu réticulé
Q349: [V255] Quel élément correspond le mieux à : exemple de TC à prédominance de fibres élastiques ?	Réponse: C — Ligaments jaunes
Q354: [V260] Parmi les propositions suivantes, laquelle correspond le mieux à : des maladies de surcharge lysosomiale par déficit enzymatique (accumulation de GAG) ?	Réponse: C — Mucopolysaccharidoses
Q356: [V262] Quel élément correspond le mieux à : l’enzyme qui hydrolyse l’acide hyaluronique ?	Réponse: B — Hyaluronidase
Q357: [V263] Quel élément correspond le mieux à : l’enzyme qui hydrolyse l’acide hyaluronique ?	Réponse: C — Hyaluronidase
Q359: [V265] Quel élément correspond le mieux à : exemple de localisation de TC dense irrégulier ?	Réponse: B — Dure-mère
Q360: [V266] Quel élément correspond le mieux à : exemple de TC à prédominance de fibres élastiques ?	Réponse: D — Ligaments jaunes
Q361: [V267] Quel élément correspond le mieux à : cellule proche des capillaires riche en histamine (allergie) ?	Réponse: A — Mastocyte
Q363: [V269] Quel élément correspond le mieux à : exemple de TC à prédominance de fibres élastiques ?	Réponse: D — Ligaments jaunes
Q364: [V270] Quel élément correspond le mieux à : collagène en faisceaux orientés dans toutes les directions ?	Réponse: C — TC dense irrégulier
Q366: [V272] Lequel des énoncés décrit correctement : Collagène type I ?	Réponse: A — le collagène majoritaire (~90%), ubiquitaire
Q370: [V276] Parmi les propositions suivantes, laquelle correspond le mieux à : cellule sanguine anucléée ?	Réponse: C — Hématie
Q371: [V277] Lequel des énoncés décrit correctement : Intégrines (α/β) ?	Réponse: D — des récepteurs membranaires dimériques impliqués dans l’ancrage à la MEC
Q373: [V279] Quel élément correspond le mieux à : cellule sanguine anucléée ?	Réponse: C — Hématie
Q374: [V280] Quel élément correspond le mieux à : la cellule résidente qui synthétise les macromolécules de la MEC ?	Réponse: C — Fibroblaste
Q377: [V283] Lequel des énoncés décrit correctement : Orcéine ?	Réponse: C — la coloration de mise en évidence des fibres élastiques
Q382: [V288] Quel élément correspond le mieux à : cellule sanguine anucléée ?	Réponse: B — Hématie
Q385: [V291] Lequel des énoncés décrit correctement : Collagène type II ?	Réponse: B — le collagène du cartilage
Q388: [V294] Parmi les propositions suivantes, laquelle correspond le mieux à : formuler des hypothèses et les tester avec anamnèse + examen ?	Réponse: D — Raisonnement clinique
Q391: [V297] Parmi les propositions suivantes, laquelle correspond le mieux à : matrice liquide du sang (~55%) ?	Réponse: A — Plasma
Q392: [V298] Lequel des énoncés décrit correctement : Collagène type III ?	Réponse: A — la réticuline (fibres réticulées)
Q393: [V299] Quel élément correspond le mieux à : localisation citée du TC lâche entre fibres musculaires striées ?	Réponse: B — Endomysium
Q395: [V301] Quel élément correspond le mieux à : des maladies de surcharge lysosomiale par déficit enzymatique (accumulation de GAG) ?	Réponse: C — Mucopolysaccharidoses
Q396: [V302] Parmi les propositions suivantes, laquelle correspond le mieux à : la cellule résidente qui synthétise les macromolécules de la MEC ?	Réponse: A — Fibroblaste
Q399: [V305] Parmi les propositions suivantes, laquelle correspond le mieux à : tissu très distribué, rôle de remplissage, fibres sans orientation ?	Réponse: A — TC lâche
Q400: [V306] Quel élément correspond le mieux à : le collagène du cartilage ?	Réponse: D — Collagène type II
